DBA Name,Street Address,Yelp Name,Price Level,Rating,Review Count,Top Yelp Category,Is Closed,Yelp Address,Zipcode,Supervisor District,Neighborhood,Business Start Date,Business End Date,Location Start Date,Location End Date,Yelp ID
Nan King Road Bistro,1360 9th Ave,Nan King Road Bistro,$$,4,600,Chinese,TRUE,1360 9th Ave,94122.0,,,11/1/98,4/29/16,11/1/98,4/29/16,4De0iMwSPF2aJ_QGTye4TQ
Alfred's Steakhouse,659 Merchant St,Alfred's Steakhouse,$$$,3.5,676,Steakhouses,TRUE,659 Merchant St,94111.0,3.0,Chinatown,1/1/99,12/31/15,1/1/99,12/31/15,#NAME?
Alfred's Steakhouse,659 Merchant St,Alfred's Steakhouse,$$$,3.5,676,Steakhouses,TRUE,659 Merchant St,94111.0,,,1/4/16,,1/4/16,,#NAME?
Sanppo Restaurant,1702 Post St,Sanppo Restaurant,$$,3,374,Japanese,FALSE,1702 Post St,94115.0,,,4/1/99,5/31/18,4/1/99,5/31/18,wAPk6QJV6NtXxNQgSd1dkA
Sanppo Restaurant,1702 Post St,Sanppo Restaurant,$$,3,374,Japanese,FALSE,1702 Post St,94115.0,5.0,Japantown,5/9/18,,5/9/18,,wAPk6QJV6NtXxNQgSd1dkA
Delicious Dim Sum,752 Jackson St,Delicious Dim Sum,$,4,947,Dim Sum,FALSE,752 Jackson St,94133.0,,,6/15/99,4/2/18,6/15/99,4/2/18,Fo5Wscbb9rwcLuaO-sc2zQ
All Season Sushi,524 Castro St,Wasabi Bistro,$$,4,453,Sushi Bars,FALSE,524 Castro St,94114.0,8.0,Castro/Upper Market,8/4/99,1/31/16,2/8/01,1/31/16,bm7sU0_SNY0k2ZX65YqTsA
G And R Market,2601 Sutter St,Gr Market & Deli,$$,3.5,6,Grocery,FALSE,2601 Sutter St,94115.0,5.0,Presidio Heights,5/13/12,10/31/18,5/13/12,10/31/18,IzWu4dCs_cIZcqvHxGwO9A
Fly,762 Divisadero St,Fly Bar,$$,4,748,Bars,FALSE,762 Divisadero St,94117.0,5.0,Hayes Valley,11/16/99,5/12/16,11/16/99,5/12/16,8MMhiZdt1QD4r8os_hKEvg
Hawaiian Drive Inn #28,4827 Mission St,Hawaiian Drive Inn,$,4,360,Hawaiian,FALSE,4827 Mission St,94112.0,,,3/3/00,12/31/16,3/3/00,12/31/16,yEn0YT1wMC6hR7CVRX956w
Hawaiian Drive Inn #28,4827 Mission St,Hawaiian Drive Inn,$,4,360,Hawaiian,FALSE,4827 Mission St,94112.0,11.0,Excelsior,1/10/17,,1/10/17,,yEn0YT1wMC6hR7CVRX956w
Lovejoy's Tea Room & Antiques,1351 Church St,Lovejoy's Attic,$$,4.5,46,Tea Rooms,FALSE,1351 Church St,94114.0,8.0,Noe Valley,5/8/00,8/1/16,7/1/00,8/1/16,YN_Fm4paIod5jpnaAXATtQ
New Sweetheart Bakery,2956 24th St,New Sweetheart Bakery,$,4.5,17,Bakeries,TRUE,2956 24th St,94110.0,9.0,Mission,1/1/01,12/24/17,1/1/01,12/24/17,N1hqh6abqCF2YJ81I4J3Xw
Thanh Thanh,2205 Clement St,Thanh Thanh Cafe,$,3.5,166,Vietnamese,FALSE,2205 Clement St,94121.0,1.0,Outer Richmond,4/1/01,9/20/17,4/1/01,9/20/17,vfYfuqFDRKU4TqChasaHFA
Gambinos,1 Embarcadero Ctr,Gambino's New York Subs,$,3.5,286,Sandwiches,FALSE,1 Embarcadero Ctr,94111.0,,,2/2/17,2/26/17,2/2/17,2/26/17,SOiTMmkT36gjyEIRra9vNw
La Loma Produce #8,2840 Mission St,La Loma Produce No 8,$,4,12,Grocery,FALSE,2840 Mission St,94110.0,9.0,Mission,6/11/02,4/27/16,6/11/02,4/27/16,UdEsMHA4MlJyCLPDCubNoQ
