DBA Name,Street Address,Yelp Name,Price Level,Rating,Review Count,Top Yelp Category,Is Closed,Yelp Address,Zipcode,Neighborhood
Thomas John Events,1501 Cortland Ave,Culinary Eye,No record in Yelp,5,70,Caterers,FALSE,1501 Cortland Ave,94110,Bernal Heights
Cheung Yuen Dim Sum,648 Pacific Ave,Cheung Yuen Dim Sum,$,2.5,10,Dim Sum,FALSE,648 Pacific Ave,94133,Chinatown
Brenda's Original Po Boys,652 Polk St,Brenda's French Soul Food,$$,4,10907,Breakfast & Brunch,FALSE,652 Polk St,94102,
Crepe & Curry,5 Embarcadero Ctr,Crepe & Curry,$,3,221,Creperies,FALSE,5 Embarcadero Ctr,94111,
The Sandwich Spot Sf,3213 Pierce St,The Sandwich Spot,$$,4,649,Sandwiches,FALSE,3213 Pierce St,94123,Marina
Zoe's,3088 24th St,Zoe's,$$,4,209,Bars,TRUE,3088 24th St,94110,
Moxies,2501 Phelps St,Moxies Catering,No record in Yelp,5,3,Caterers,FALSE,2501 Phelps St,94124,Bayview Hunters Point
Redford,673 Geary St,Redford,$$,4,446,American (Traditional),FALSE,673 Geary St,94102,
Coco's,3319 Mission St,Coco's Ramen,$$,4,492,Ramen,FALSE,3319 Mission St,94110,Bernal Heights
Spicy Garden Restaurant,996 Mission St,Spicy Garden,$$,3.5,123,Szechuan,TRUE,996 Mission St,94103,
Custom Auto,251 Capp St,Custom Auto,No record in Yelp,5,1,Body Shops,FALSE,251 Capp St,94110,Mission
The Grub-Bies,303 Sacramento St,The Grubbies,$$,4,164,Sushi Bars,FALSE,303 Sacramento St,94111,
Bashful Bull Too,3600 Taraval St,Underdogs Too,$$,4,197,Mexican,FALSE,3600 Taraval St,94116,Sunset/Parkside
Duboce Truck Stop,55 Duboce Ave,Duboce Truck Stop,$,5,12,Food Trucks,TRUE,55 Duboce Ave,94103,
Raijin Restaurant,531 Haight St,Hot Zushi,$$,4.5,144,Japanese,FALSE,531 Haight St,94117,Hayes Valley
Franklin Market,2836 Franklin St,Franklin Market,$,4,17,Grocery,FALSE,2836 Franklin St,94123,Marina
Coffee Bar Kearny,433 Kearny St,Coffee Bar,$$,4.5,78,Coffee & Tea,FALSE,433 Kearny St,94108,
Maxs Opera Cafe,601 Van Ness Ave,Max's Opera Cafe,$$,3,814,American (New),FALSE,601 Van Ness Ave,94102,
Supreme Pizza,3348 18th St,Supreme Pizza,$,3.5,131,Pizza,FALSE,3348 18th St,94110,Mission
Taqueria Dos Charros,55 Cambon Dr,Taqueria Dos Charros,$,4,232,Mexican,FALSE,55 Cambon Dr,94132,Lakeshore
Munchies Pizza,1463 Haight St,Bizza,$$,4,181,Pizza,FALSE,1463 Haight St,94117,
Munchies Pizzeria,1463 Haight St,Bizza,$$,4,181,Pizza,FALSE,1463 Haight St,94117,
Rasoi,2948 Folsom St,Rasoi,$$,4,20,Indian,TRUE,2948 Folsom St,94110,
Good Noodle,239 Clement St,Pho Huynh Sang,$$,3.5,75,Vietnamese,FALSE,239 Clement St,94118,Inner Richmond
Cup,6 Monterey Blvd,Cup Cafe,$,5,229,Coffee & Tea,FALSE,6 Monterey Blvd,94131,West of Twin Peaks
Black Sands,701 Haight St,Black Sands,$$,3.5,316,Breweries,FALSE,701 Haight St,94117,
